,,,,,,,
Jobs Per Million Dollars Change in Final Demand,,,Personal Consumption Expenditures (PCE),,,,
  Jobs Direct Multipliers,MyCounty,MyRegion,,MyCounty,MyRegion,,
"Ag, Forestry, Fish & Hunting",0.000,0.000,,0.000,0.000,,
Mining,0.000,0.000,,0.000,0.000,,
Construction,0.000,0.000,,0.000,0.000,,
Construction/Installations - Non Residential,0.000,0.000,,0.000,0.000,,
Construction/Installation Residential,0.000,0.000,,0.000,0.000,,
Manufacturing,0.000,0.000,,0.000,0.000,,
Fabricated Metals,0.000,0.000,,0.000,0.000,,
Machinery,0.000,0.000,,0.000,0.000,,
Electrical Equip,0.000,0.000,,0.000,0.000,,
Battery Manufacturing,0.000,0.000,,0.000,0.000,,
Energy Wire Manufacturing,0.000,0.000,,0.000,0.000,,
Wholesale Trade,0.000,0.000,,0.000,0.000,,
Retail trade,0.000,0.000,,0.000,0.000,,
TCPU,0.000,0.000,,0.000,0.000,,
Insurance and Real Estate,0.000,0.000,,0.000,0.000,,
Finance,0.000,0.000,,0.000,0.000,,
Other Professional Services,0.000,0.000,,0.000,0.000,,
Office Services,0.000,0.000,,0.000,0.000,,
Architectural and Engineering Services,0.000,0.000,,0.000,0.000,,
Other services,0.000,0.000,,0.000,0.000,,
Government,0.000,0.000,,0.000,0.000,,
Semiconductor (solar cell/module) manufacturing,0.000,0.000,,0.000,0.000,,
,,,Total,0.0000,0.0000,,
Jobs Per Million Dollars Change in Final Demand,,,,,,,
  Jobs Indirect Multipliers,MyCounty,MyRegion,,,,,
"Ag, Forestry, Fish & Hunting",0.000,0.000,,,,,
Mining,0.000,0.000,,,,,
Construction,0.000,0.000,,,,,
Construction/Installations - Non Residential,0.000,0.000,,,,,
Construction/Installation Residential,0.000,0.000,,,,,
Manufacturing,0.000,0.000,,,,,
Fabricated Metals,0.000,0.000,,,,,
Machinery,0.000,0.000,,,,,
Electrical Equip,0.000,0.000,,,,,
Battery Manufacturing,0.000,0.000,,,,,
Energy Wire Manufacturing,0.000,0.000,,,,,
Wholesale Trade,0.000,0.000,,,,,
Retail trade,0.000,0.000,,,,,
TCPU,0.000,0.000,,,,,
Insurance and Real Estate,0.000,0.000,,,,,
Finance,0.000,0.000,,,,,
Other Professional Services,0.000,0.000,,,,,
Office Services,0.000,0.000,,,,,
Architectural and Engineering Services,0.000,0.000,,,,,
Other services,0.000,0.000,,,,,
Government,0.000,0.000,,,,,
Semiconductor (solar cell/module) manufacturing,0.000,0.000,,,,,
,,,,,,,
Jobs Per Million Dollars Change in Final Demand,,,,,,,
  Jobs Induced Multipliers,MyCounty,MyRegion,,,,,
"Ag, Forestry, Fish & Hunting",0.000,0.000,,,,,
Mining,0.000,0.000,,,,,
Construction,0.000,0.000,,,,,
Construction/Installations - Non Residential,0.000,0.000,,,,,
Construction/Installation Residential,0.000,0.000,,,,,
Manufacturing,0.000,0.000,,,,,
Fabricated Metals,0.000,0.000,,,,,
Machinery,0.000,0.000,,,,,
Electrical Equip,0.000,0.000,,,,,
Battery Manufacturing,0.000,0.000,,,,,
Energy Wire Manufacturing,0.000,0.000,,,,,
Wholesale Trade,0.000,0.000,,,,,
Retail trade,0.000,0.000,,,,,
TCPU,0.000,0.000,,,,,
Insurance and Real Estate,0.000,0.000,,,,,
Finance,0.000,0.000,,,,,
Other Professional Services,0.000,0.000,,,,,
Office Services,0.000,0.000,,,,,
Architectural and Engineering Services,0.000,0.000,,,,,
Other services,0.000,0.000,,,,,
Government,0.000,0.000,,,,,
Semiconductor (solar cell/module) manufacturing,0.000,0.000,,,,,
,,,,,,,
Earnings Per Million Dollars Change in Final Demand,,,,,,,
Earnings Direct Multipliers,MyCounty,MyRegion,,,,,
"Ag, Forestry, Fish & Hunting",0.000,0.000,,,,,
Mining,0.000,0.000,,,,,
Construction,0.000,0.000,,,,,
Construction/Installations - Non Residential,0.000,0.000,,,,,
Construction/Installation Residential,0.000,0.000,,,,,
Manufacturing,0.000,0.000,,,,,
Fabricated Metals,0.000,0.000,,,,,
Machinery,0.000,0.000,,,,,
Electrical Equip,0.000,0.000,,,,,
Battery Manufacturing,0.000,0.000,,,,,
Energy Wire Manufacturing,0.000,0.000,,,,,
Wholesale Trade,0.000,0.000,,,,,
Retail trade,0.000,0.000,,,,,
TCPU,0.000,0.000,,,,,
Insurance and Real Estate,0.000,0.000,,,,,
Finance,0.000,0.000,,,,,
Other Professional Services,0.000,0.000,,,,,
Office Services,0.000,0.000,,,,,
Architectural and Engineering Services,0.000,0.000,,,,,
Other services,0.000,0.000,,,,,
Government,0.000,0.000,,,,,
Semiconductor (solar cell/module) manufacturing,0.000,0.000,,,,,
,,,,,,,
Earnings Per Million Dollars Change in Final Demand,,,,,,,
  Earnings Indirect Multipliers,MyCounty,MyRegion,,,,,
"Ag, Forestry, Fish & Hunting",0.000,0.000,,,,,
Mining,0.000,0.000,,,,,
Construction,0.000,0.000,,,,,
Construction/Installations - Non Residential,0.000,0.000,,,,,
Construction/Installation Residential,0.000,0.000,,,,,
Manufacturing,0.000,0.000,,,,,
Fabricated Metals,0.000,0.000,,,,,
Machinery,0.000,0.000,,,,,
Electrical Equip,0.000,0.000,,,,,
Battery Manufacturing,0.000,0.000,,,,,
Energy Wire Manufacturing,0.000,0.000,,,,,
Wholesale Trade,0.000,0.000,,,,,
Retail trade,0.000,0.000,,,,,
TCPU,0.000,0.000,,,,,
Insurance and Real Estate,0.000,0.000,,,,,
Finance,0.000,0.000,,,,,
Other Professional Services,0.000,0.000,,,,,
Office Services,0.000,0.000,,,,,
Architectural and Engineering Services,0.000,0.000,,,,,
Other services,0.000,0.000,,,,,
Government,0.000,0.000,,,,,
Semiconductor (solar cell/module) manufacturing,0.000,0.000,,,,,
,,,,,,,
Earnings Per Million Dollars Change in Final Demand,,,,,,,
  Earnings Induced Multipliers,MyCounty,MyRegion,,,,,
"Ag, Forestry, Fish & Hunting",0.000,0.000,,,,,
Mining,0.000,0.000,,,,,
Construction,0.000,0.000,,,,,
Construction/Installations - Non Residential,0.000,0.000,,,,,
Construction/Installation Residential,0.000,0.000,,,,,
Manufacturing,0.000,0.000,,,,,
Fabricated Metals,0.000,0.000,,,,,
Machinery,0.000,0.000,,,,,
Electrical Equip,0.000,0.000,,,,,
Battery Manufacturing,0.000,0.000,,,,,
Energy Wire Manufacturing,0.000,0.000,,,,,
Wholesale Trade,0.000,0.000,,,,,
Retail trade,0.000,0.000,,,,,
TCPU,0.000,0.000,,,,,
Insurance and Real Estate,0.000,0.000,,,,,
Finance,0.000,0.000,,,,,
Other Professional Services,0.000,0.000,,,,,
Office Services,0.000,0.000,,,,,
Architectural and Engineering Services,0.000,0.000,,,,,
Other services,0.000,0.000,,,,,
Government,0.000,0.000,,,,,
Semiconductor (solar cell/module) manufacturing,0.000,0.000,,,,,
,,,,,,,
Output Per Million Dollars Change in Final Demand,,,,,,,
  Output Direct Multipliers,MyCounty,MyRegion,,,,,
"Ag, Forestry, Fish & Hunting",0.000,0.000,,,,,
Mining,0.000,0.000,,,,,
Construction,0.000,0.000,,,,,
Construction/Installations - Non Residential,0.000,0.000,,,,,
Construction/Installation Residential,0.000,0.000,,,,,
Manufacturing,0.000,0.000,,,,,
Fabricated Metals,0.000,0.000,,,,,
Machinery,0.000,0.000,,,,,
Electrical Equip,0.000,0.000,,,,,
Battery Manufacturing,0.000,0.000,,,,,
Energy Wire Manufacturing,0.000,0.000,,,,,
Wholesale Trade,0.000,0.000,,,,,
Retail trade,0.000,0.000,,,,,
TCPU,0.000,0.000,,,,,
Insurance and Real Estate,0.000,0.000,,,,,
Finance,0.000,0.000,,,,,
Other Professional Services,0.000,0.000,,,,,
Office Services,0.000,0.000,,,,,
Architectural and Engineering Services,0.000,0.000,,,,,
Other services,0.000,0.000,,,,,
Government,0.000,0.000,,,,,
Semiconductor (solar cell/module) manufacturing,0.000,0.000,,,,,
,,,,,,,
Output Per Million Dollars Change in Final Demand,,,,,,,
  Output Indirect Multipliers,MyCounty,MyRegion,,,,,
"Ag, Forestry, Fish & Hunting",0.000,0.000,,,,,
Mining,0.000,0.000,,,,,
Construction,0.000,0.000,,,,,
Construction/Installations - Non Residential,0.000,0.000,,,,,
Construction/Installation Residential,0.000,0.000,,,,,
Manufacturing,0.000,0.000,,,,,
Fabricated Metals,0.000,0.000,,,,,
Machinery,0.000,0.000,,,,,
Electrical Equip,0.000,0.000,,,,,
Battery Manufacturing,0.000,0.000,,,,,
Energy Wire Manufacturing,0.000,0.000,,,,,
Wholesale Trade,0.000,0.000,,,,,
Retail trade,0.000,0.000,,,,,
TCPU,0.000,0.000,,,,,
Insurance and Real Estate,0.000,0.000,,,,,
Finance,0.000,0.000,,,,,
Other Professional Services,0.000,0.000,,,,,
Office Services,0.000,0.000,,,,,
Architectural and Engineering Services,0.000,0.000,,,,,
Other services,0.000,0.000,,,,,
Government,0.000,0.000,,,,,
Semiconductor (solar cell/module) manufacturing,0.000,0.000,,,,,
,,,,,,,
Output Per Million Dollars Change in Final Demand,,,,,,,
  Output Induced Multipliers,MyCounty,MyRegion,,,,,
"Ag, Forestry, Fish & Hunting",0.000,0.000,,,,,
Mining,0.000,0.000,,,,,
Construction,0.000,0.000,,,,,
Construction/Installations - Non Residential,0.000,0.000,,,,,
Construction/Installation Residential,0.000,0.000,,,,,
Manufacturing,0.000,0.000,,,,,
Fabricated Metals,0.000,0.000,,,,,
Machinery,0.000,0.000,,,,,
Electrical Equip,0.000,0.000,,,,,
Battery Manufacturing,0.000,0.000,,,,,
Energy Wire Manufacturing,0.000,0.000,,,,,
Wholesale Trade,0.000,0.000,,,,,
Retail trade,0.000,0.000,,,,,
TCPU,0.000,0.000,,,,,
Insurance and Real Estate,0.000,0.000,,,,,
Finance,0.000,0.000,,,,,
Other Professional Services,0.000,0.000,,,,,
Office Services,0.000,0.000,,,,,
Architectural and Engineering Services,0.000,0.000,,,,,
Other services,0.000,0.000,,,,,
Government,0.000,0.000,,,,,
Semiconductor (solar cell/module) manufacturing,0.000,0.000,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
